"LowBi_ight","Unemp_ment","Below_evel","NoHig_loma"
11,16.7,26.1,16.9
13,26.6,38.1,17.6
17,40,55.5,33.7
12,20.6,28.3,19.4
11,11,23.1,10.8
8,6.8,9.5,12.5
17,23.2,39.1,28.3
5,6.9,18.2,5.3
17,17.3,28.3,17.9
11,7.5,22.7,18.1
6,9,6.4,13.5
7,5.5,6.1,6.3
9,7.5,12.4,18.2
8,9,17.1,34.9
6,10.6,12.3,18.7
7,10.3,10.8,22
6,8.6,8.3,18
8,10.8,12.8,28.4
6,11.5,18.6,37
8,7.9,15.1,19.6
6,12.9,19.1,41.9
7,9.3,14.6,25.7
7,7.5,17.2,18.5
12,12.3,32.6,36.8
9,6,15.7,13.4
15,21,27,25
17,25.2,40.3,26.2
17,16.4,39.7,26.2
9,10.7,21.6,11.2
15,18.5,38.6,30.4
8,7.7,22.7,13.6
7,11.5,28.1,58.7
4,13,27.2,44.3
8,5.7,11.1,7.1
12,11.6,35.8,37.5
4,7.3,5.9,13.5
8,5.2,13.4,3.4
5,4.2,11.1,3.4
13,17.7,31.5,14.9
15,19,25.3,13.7
19,16.6,16.7,13.3
13,17.7,28,28.2
7,23.4,22.5,18.6
9,17.2,12,11.2
12,17.8,19.5,17.4
9,4.5,7.1,5.4
11,21,20.1,15.6
14,11.8,24.5,21.9
6,14.5,18.7,35.5
14,17,24.3,22.6
15,26.4,61.4,24.6
7,9.6,12.1,17.9
8,8.1,9,19.4
8,14.2,13,36.4
7,11.2,23,48.2
7,11.9,16.1,31.8
6,4.7,10.5,2.9
8,11.2,17.3,25.6
11,17.4,30.6,42.4
4,13.5,9.8,39.6
6,14,20.8,54.1
7,9.6,5.9,18.5
7,7.8,15.3,33.4
9,11.9,22.2,31.6
16,34.7,32.3,30.3
14,21.3,42.2,29.4
12,18.9,25.6,17.9
6,4.5,11.8,4.3
9,8.8,9.5,18.3
11,24.2,24.5,19.5
4,7.8,5.2,5.1
19,18.3,15.7,15.6
8,6.9,3.1,4.5
10,14.9,13.7,10.9
3,4.7,9.5,11
7,9,16.6,9
7,7.4,5.1,8.5
